tag;name;sid
2013/2014;;49
2014/2015;;1329
2015/2016;;1476
2016/2017;;1601
2017/2018;;1720
2018/2019;;1912
2019/2020;;2023
2020/2021;;2195
2021/2022;;2327
2022/2023;;2472
