name;ans_freq;report_id
RRY100 Satellite communications 2013/2014 LP1-LP1;5 (50,00%);384
RRY100 Satellite communications 2014/2015 LP1-LP1;6 (26,09%);3881
RRY100 Satellite communications 2015/2016 LP1-LP1;11 (64,71%);6525
RRY100 Satellite communications 2016/2017 LP1-LP1;7 (46,67%);8757
RRY100 Satellite communications 2017/2018 LP1-LP1;9 (50,00%);10919
SJO955 Juridik för ingenjörer, arkitekter med flera i Chalmers utbildningsprogram 2017/2018 LP2-LP2;10 (47,62%);11794
SSY085 Wireless and photonics system engineering 2014/2015 LP1-LP1;15 (68,18%);3755
SSY085 Wireless and photonics system engineering 2015/2016 LP1-LP1;22 (57,89%);6265
SSY085 Wireless and photonics system engineering 2016/2017 LP1-LP1;17 (58,62%);8677
SSY085 Wireless and photonics system engineering 2017/2018 LP1-LP1;22 (64,71%);10733
SSY095 Image analysis 2013/2014 LP3-LP3;24 (38,71%);1723
SSY096 Image analysis 2014/2015 LP3-LP3;35 (52,24%);5429
SSY096 Image analysis 2015/2016 LP3-LP3;57 (58,16%);7556
SSY097 Image analysis 2016/2017 LP3-LP3;59 (56,73%);10043
SSY097 Image analysis 2017/2018 LP3-LP3;55 (45,83%);12025
SSY100 Antenna engineering 2013/2014 LP4-LP4;22 (66,67%);3408
SSY100 Antenna engineering 2014/2015 LP4-LP4;14 (46,67%);5688
SSY100 Antenna engineering 2015/2016 LP4-LP4;14 (45,16%);8260
SSY100 Antenna engineering 2016/2017 LP4-LP4;11 (39,29%);10443
SSY100 Antenna engineering 2017/2018 LP4-LP4;9 (39,13%);12553
SSY115 eHealth 2013/2014 LP4-LP4;22 (61,11%);3274
SSY115 eHealth 2014/2015 LP4-LP4;14 (37,84%);6050
SSY115 eHealth 2015/2016 LP4-LP4;22 (55,00%);8028
SSY115 eHealth 2016/2017 LP4-LP4;25 (53,19%);10393
SSY115 eHealth 2017/2018 LP4-LP4;26 (49,06%);12517
SSY121 Introduction to communication engineering 2013/2014 LP1-LP1;42 (93,33%);2104
SSY121 Introduction to communication engineering 2014/2015 LP1-LP1;38 (92,68%);3961
SSY121 Introduction to communication engineering 2015/2016 LP1-LP1;59 (92,19%);6071
SSY121 Introduction to communication engineering 2016/2017 LP1-LP1;45 (90,00%);8377
SSY121 Introduction to communication engineering 2017/2018 LP1-LP1;57 (90,48%);10633
SSY125 Digital communications 2013/2014 LP2-LP2;26 (89,66%);2778
SSY125 Digital communications 2014/2015 LP2-LP2;20 (83,33%);4469
SSY125 Digital communications 2015/2016 LP2-LP2;26 (86,67%);6664
SSY125 Digital communications 2016/2017 LP2-LP2;26 (83,87%);9079
SSY125 Digital communications 2017/2018 LP2-LP2;30 (81,08%);11722
SSY130 Applied signal processing 2013/2014 LP2-LP2;81 (56,25%);2858
SSY130 Applied signal processing 2014/2015 LP2-LP2;84 (56,00%);4825
SSY130 Applied signal processing 2015/2016 LP2-LP2;80 (49,08%);6980
SSY130 Applied signal processing 2016/2017 LP2-LP2;81 (45,51%);9521
SSY130 Applied signal processing 2017/2018 LP2-LP2;78 (39,80%);11542
SSY135 Wireless communications 2013/2014 LP3-LP3;18 (64,29%);1519
SSY135 Wireless communications 2014/2015 LP3-LP3;15 (75,00%);5011
SSY135 Wireless communications 2015/2016 LP3-LP3;19 (79,17%);7480
SSY135 Wireless communications 2016/2017 LP3-LP3;22 (88,00%);9747
SSY135 Wireless communications 2017/2018 LP3-LP3;20 (76,92%);11883
SSY145 Wireless networks 2013/2014 LP4-LP4;11 (84,62%);3426
SSY145 Wireless networks 2014/2015 LP4-LP4;21 (91,30%);5511
SSY145 Wireless networks 2015/2016 LP4-LP4;22 (84,62%);7828
SSY145 Wireless networks 2016/2017 LP4-LP4;14 (50,00%);10123
SSY145 Wireless networks 2017/2018 LP4-LP4;11 (47,83%);12833
SSY150 Multimedia and video communications 2013/2014 LP4-LP4;11 (61,11%);3550
SSY150 Multimedia and video communications 2014/2015 LP4-LP4;4 (66,67%);5768
SSY150 Multimedia and video communications 2015/2016 LP4-LP4;13 (86,67%);7830
SSY150 Multimedia and video communications 2016/2017 LP4-LP4;8 (66,67%);10295
SSY150 Multimedia and video communications 2017/2018 LP4-LP4;7 (63,64%);12447
SSY196 Error control coding 2015/2016 LP3-LP3;7 (77,78%);7586
SSY196 Error control coding 2017/2018 LP3-LP3;4 (80,00%);12215
SSY205 Matrix analysis with applications, advanced level 2014/2015 LP3-LP3;6 (40,00%);5423
SSY205 Matrix analysis with applications, advanced level 2016/2017 LP3-LP3;6 (85,71%);9997
SSY210 Information theory, advanced level 2014/2015 LP4-LP4;13 (76,47%);5982
SSY210 Information theory, advanced level 2016/2017 LP4-LP4;8 (88,89%);10165
SSY270 Advanced topics in communications 2013/2014 LP3-LP3;12 (80,00%);1489
SSY275 Advanced topics in signal processing 2013/2014 LP4-LP4;15 (71,43%);3258
SSY315 Bayesian statistics 2015/2016 LP4-LP4;16 (59,26%);8144
SSY320 Sensor fusion and nonlinear filtering 2014/2015 LP1-LP1;23 (74,19%);4199
SSY320 Sensor fusion and nonlinear filtering 2015/2016 LP1-LP1;52 (69,33%);6401
SSY320 Sensor fusion and nonlinear filtering 2016/2017 LP1-LP1;47 (63,51%);8429
SSY345 Sensor fusion and nonlinear filtering 2017/2018 LP1-LP1;54 (56,84%);11137
SSY345 Sensor fusion and nonlinear filtering 2017/2018 LP4-LP4;35 (37,63%);12901
TMA947 Nonlinear optimisation 2014/2015 LP2-LP2;32 (47,06%);4417
TMA947 Nonlinear optimisation 2015/2016 LP2-LP2;29 (33,72%);7140
TMA947 Nonlinear optimisation 2016/2017 LP2-LP2;25 (31,25%);9049
TMA947 Nonlinear optimisation 2017/2018 LP2-LP2;23 (34,85%);11698
DAT093 Introduction to electronic system design 2018/2019 LP1-LP1;20 (55,56%);13376
DAT093 Introduction to electronic system design 2019/2020 LP1-LP1;30 (60,00%);15658
DAT094 Design of digital electronic systems 2020/2021 LP1-LP1;23 (63,89%);17993
DAT094 Design of digital electronic systems 2021/2022 LP1-LP1;14 (56,00%);19972
DAT094 Design of digital electronic systems 2022/2023 LP1-LP1;11 (42,31%);22454
DAT116 Mixed-signal system design 2018/2019 LP2-LP2;13 (35,14%);14025
DAT116 Mixed-signal system design 2019/2020 LP2-LP2;10 (37,04%);16105
DAT116 Mixed-signal system design 2020/2021 LP2-LP2;18 (56,25%);18507
DAT116 Mixed-signal system design 2021/2022 LP2-LP2;5 (38,46%);20895
EDA387 Computer networks 2018/2019 LP1-LP1;42 (46,67%);13372
EDA387 Computer networks 2019/2020 LP1-LP1;41 (46,07%);15654
EDA387 Computer networks 2020/2021 LP1-LP1;31 (31,00%);17803
EDA387 Computer networks 2021/2022 LP1-LP1;28 (38,36%);20020
EDA387 Computer networks 2022/2023 LP1-LP1;34 (35,79%);22300
EDA491 Network security 2018/2019 LP4-LP4;27 (31,03%);14801
EDA491 Network security 2019/2020 LP4-LP4;29 (26,85%);17009
EDA491 Network security 2020/2021 LP4-LP4;16 (16,67%);19658
EDA491 Network security 2021/2022 LP4-LP4;22 (25,88%);22017
EEN115 Introduction to communication networks 2021/2022 LP3-LP3;20 (60,61%);21521
