name;ans_freq;report_id
MTF072 Computational fluid dynamics (CFD) 2014/2015 LP2-LP2;51 (66,23%);4287
MTF072 Computational fluid dynamics (CFD) 2015/2016 LP2-LP2;48 (53,93%);6862
MTF072 Computational fluid dynamics (CFD) 2016/2017 LP2-LP2;40 (54,05%);9269
MTF072 Computational fluid dynamics (CFD) 2017/2018 LP2-LP2;26 (46,43%);11588
TIF015 Soft matter physics 2013/2014 LP1-LP1;23 (53,49%);350
TIF015 Soft matter physics 2014/2015 LP1-LP1;31 (75,61%);3825
TIF015 Soft matter physics 2015/2016 LP1-LP1;15 (46,88%);6323
TIF015 Soft matter physics 2016/2017 LP1-LP1;13 (46,43%);8839
TIF015 Soft matter physics 2017/2018 LP1-LP1;18 (66,67%);10883
TIF030 Modern imaging, spectroscopy and diffraction techniques 2013/2014 LP1-LP1;28 (62,22%);1964
TIF030 Modern imaging, spectroscopy and diffraction techniques 2014/2015 LP1-LP1;28 (71,79%);3743
TIF030 Modern imaging, spectroscopy and diffraction techniques 2015/2016 LP1-LP1;24 (72,73%);6257
TIF030 Modern imaging, spectroscopy and diffraction techniques 2016/2017 LP1-LP1;19 (59,38%);8669
TIF030 Modern imaging, spectroscopy and diffraction techniques 2017/2018 LP1-LP1;23 (56,10%);10725
TIF035 Computational materials physics 2013/2014 LP3-LP3;10 (66,67%);1629
TIF035 Computational materials physics 2014/2015 LP3-LP3;11 (57,89%);5129
TIF035 Computational materials physics 2015/2016 LP3-LP3;5 (50,00%);7328
TIF035 Computational materials physics 2016/2017 LP3-LP3;9 (52,94%);9703
TIF035 Computational materials physics 2017/2018 LP3-LP3;5 (38,46%);12261
TIF040 Biotechnical physics 2013/2014 LP3-LP3;7 (53,85%);1785
TIF040 Biotechnical physics 2014/2015 LP3-LP3;11 (64,71%);5211
TIF040 Biotechnical physics 2015/2016 LP3-LP3;6 (85,71%);7396
TIF040 Biotechnical physics 2016/2017 LP3-LP3;6 (75,00%);9779
TIF050 Materials in medicine 2013/2014 LP2-LP2;18 (51,43%);2508
TIF050 Materials in medicine 2014/2015 LP2-LP2;23 (69,70%);4289
TIF050 Materials in medicine 2015/2016 LP2-LP2;23 (52,27%);6864
TIF050 Materials in medicine 2016/2017 LP2-LP2;21 (53,85%);9271
TIF050 Materials in medicine 2017/2018 LP2-LP2;18 (45,00%);11324
TIF106 Non-equilibrium processes in physics, chemistry and biology 2013/2014 LP4-LP4;9 (47,37%);3490
TIF106 Non-equilibrium processes in physics, chemistry and biology 2014/2015 LP4-LP4;12 (46,15%);5940
TIF106 Non-equilibrium processes in physics, chemistry and biology 2015/2016 LP4-LP4;9 (45,00%);8104
TIF106 Non-equilibrium processes in physics, chemistry and biology 2016/2017 LP4-LP4;7 (43,75%);10555
TIF106 Non-equilibrium processes in physics, chemistry and biology 2017/2018 LP4-LP4;6 (24,00%);12697
TIF110 Advanced analysis methods 2013/2014 LP3-LP3;7 (53,85%);1447
TIF110 Advanced analysis methods 2014/2015 LP3-LP3;8 (61,54%);4995
TIF110 Advanced analysis methods 2015/2016 LP3-LP3;7 (58,33%);7464
TIF110 Advanced analysis methods 2016/2017 LP3-LP3;10 (71,43%);9833
TIF110 Advanced analysis methods 2017/2018 LP3-LP3;8 (57,14%);11941
TIF115 Functional materials 2013/2014 LP4-LP4;7 (53,85%);3484
TIF116 Physics of electromagnetic materials 2014/2015 LP4-LP4;6 (42,86%);5507
TIF120 Surface and nanophysics 2013/2014 LP3-LP3;16 (69,57%);1601
TIF120 Surface and nanophysics 2014/2015 LP3-LP3;15 (65,22%);5099
TIF120 Surface and nanophysics 2015/2016 LP3-LP3;5 (50,00%);7674
TIF120 Surface and nanophysics 2016/2017 LP3-LP3;10 (66,67%);9877
TIF120 Surface and nanophysics 2017/2018 LP3-LP3;6 (42,86%);11975
TIF165 Nanotechnology for sustainable energy 2013/2014 LP3-LP3;19 (59,38%);1719
TIF165 Nanotechnology for sustainable energy 2014/2015 LP3-LP3;16 (64,00%);5199
TIF165 Nanotechnology for sustainable energy 2015/2016 LP3-LP3;8 (38,10%);7386
