name;ans_freq;report_id
LBT243 Projektarbete anläggning 2016/2017 LP3-LP4;8 (16,67%);10087
LBT290 Hållfasthetslära 2013/2014 LP3-LP3;38 (40,86%);1539
LBT290 Hållfasthetslära 2014/2015 LP3-LP3;33 (32,67%);5029
LBT311 Drift och underhåll 2013/2014 LP2-LP2;19 (50,00%);2672
LBT311 Drift och underhåll 2014/2015 LP2-LP2;12 (28,57%);4397
LBT311 Drift och underhåll 2015/2016 LP2-LP2;16 (43,24%);7122
LBT311 Drift och underhåll 2016/2017 LP2-LP2;17 (30,91%);9395
LBT340 Värme- och ventilationsteknisk projektering 2013/2014 LP1-LP1;19 (52,78%);2164
LBT340 Värme- och ventilationsteknisk projektering 2014/2015 LP1-LP1;9 (32,14%);3873
LBT340 Värme- och ventilationsteknisk projektering 2015/2016 LP1-LP1;17 (58,62%);6517
LBT340 Värme- och ventilationsteknisk projektering 2016/2017 LP1-LP1;4 (22,22%);8749
LBT345 Vattenförsörjnings- och avloppsteknik 2013/2014 LP3-LP3;22 (24,18%);1535
LBT345 Vattenförsörjnings- och avloppsteknik 2014/2015 LP3-LP3;42 (49,41%);5071
LBT345 Vattenförsörjnings- och avloppsteknik 2015/2016 LP3-LP3;19 (21,84%);7644
LBT502 Brobyggnad 2013/2014 LP2-LP2;9 (50,00%);2486
LBT502 Brobyggnad 2014/2015 LP2-LP2;12 (32,43%);4269
LBT502 Brobyggnad 2015/2016 LP2-LP2;19 (42,22%);6846
LBT502 Brobyggnad 2016/2017 LP2-LP2;9 (45,00%);9259
LBT625 Miljö och hållbar utveckling 2013/2014 LP1-LP1;71 (58,68%);1938
LBT822 Projektarbete industribyggnad 2013/2014 LP1-LP2;39 (49,37%);1086
LBT822 Projektarbete industribyggnad 2014/2015 LP1-LP2;37 (52,86%);4499
LBT822 Projektarbete industribyggnad 2015/2016 LP1-LP2;37 (59,68%);6688
LBT822 Projektarbete industribyggnad 2016/2017 LP1-LP2;17 (24,29%);9465
LBT825 Marknadsföring 2013/2014 LP2-LP2;24 (61,54%);2458
LBT825 Marknadsföring 2014/2015 LP2-LP2;21 (61,76%);4771
LBT825 Marknadsföring 2015/2016 LP2-LP2;24 (63,16%);7094
LBT825 Marknadsföring 2016/2017 LP2-LP2;31 (37,35%);9193
LMA033 Matematik 2013/2014 LP1-LP3;40 (35,09%);1603
LMA033 Matematik 2014/2015 LP1-LP3;28 (23,93%);5101
LMA120 Statistik och sannolikhetslära 2013/2014 LP4-LP4;37 (40,22%);3298
LMA120 Statistik och sannolikhetslära 2014/2015 LP4-LP4;32 (37,21%);5606
LMA120 Statistik och sannolikhetslära 2015/2016 LP4-LP4;22 (22,68%);8042
LSP020 Engelska 2013/2014 LP2-LP2;49 (50,00%);2978
LSP020 Engelska 2014/2015 LP2-LP2;42 (42,00%);4637
LSP021 Engelska 2013/2014 LP3-LP3;26 (30,59%);1773
LSP021 Engelska 2014/2015 LP3-LP3;25 (32,89%);5407
MVE085 Flervariabelanalys 2013/2014 LP1-LP1;64 (27,47%);1934
MVE085 Flervariabelanalys 2014/2015 LP1-LP1;99 (45,62%);3721
MVE085 Flervariabelanalys 2015/2016 LP1-LP1;79 (33,19%);6243
MVE115 Matematisk analys i flera variabler 2014/2015 LP3-LP3;24 (39,34%);5273
MVE115 Matematisk analys i flera variabler 2015/2016 LP3-LP3;19 (35,85%);7716
MVE270 Flervariabelanalys 2016/2017 LP3-LP3;50 (31,65%);9841
TMA044 Flervariabelanalys 2016/2017 LP1-LP1;32 (30,48%);8427
VHU501 Byggteknik 2013/2014 LP1-LP2;49 (51,04%);2626
VHU501 Byggteknik 2014/2015 LP1-LP2;44 (44,00%);4333
VSM045 Strukturmekanik - grunder 2013/2014 LP4-LP4;27 (38,03%);3568
VSM045 Strukturmekanik - grunder 2014/2015 LP1-LP1;35 (47,95%);3841
VSM045 Strukturmekanik - grunder 2015/2016 LP1-LP1;45 (49,45%);6487
VSM045 Strukturmekanik - grunder 2016/2017 LP1-LP1;32 (40,51%);8495
